JUDGEMENT	PMID
EXCLUDE	19932692
EXCLUDE	19932735
EXCLUDE	19932740
EXCLUDE	19933754
EXCLUDE	19939956
EXCLUDE	19939958
EXCLUDE	19941837
EXCLUDE	19944141
EXCLUDE	19944736
EXCLUDE	19944742
EXCLUDE	19945444
EXCLUDE	19945511
INCLUDE	19948656
EXCLUDE	19948659
EXCLUDE	19948660
EXCLUDE	19958811
EXCLUDE	19958814
EXCLUDE	19958815
INCLUDE	19958820
EXCLUDE	19961902
INCLUDE	19961903
INCLUDE	19961904
EXCLUDE	19961905
INCLUDE	19961906
EXCLUDE	19961908
EXCLUDE	19962370
INCLUDE	19962427
EXCLUDE	19962428
EXCLUDE	19962429
EXCLUDE	19963038
EXCLUDE	19963040
EXCLUDE	19963054
EXCLUDE	19968968
EXCLUDE	19969043
EXCLUDE	20004651
INCLUDE	20004700
EXCLUDE	20004702
EXCLUDE	20004709
EXCLUDE	20004713
EXCLUDE	20005920
EXCLUDE	20005922
INCLUDE	20005924
EXCLUDE	20006674
EXCLUDE	20006677
EXCLUDE	20006679
INCLUDE	20006972
EXCLUDE	20006975
INCLUDE	20018227
EXCLUDE	20018232
INCLUDE	20018832
INCLUDE	20018836
EXCLUDE	20025854
EXCLUDE	20025939
EXCLUDE	20026089
INCLUDE	20026091
EXCLUDE	20026180
EXCLUDE	20026181
EXCLUDE	20026246
EXCLUDE	20026247
EXCLUDE	20026250
EXCLUDE	20026251
EXCLUDE	20026266
EXCLUDE	20026315
EXCLUDE	20026383
EXCLUDE	20032230
INCLUDE	20032232
EXCLUDE	20032240
EXCLUDE	20032241
EXCLUDE	20034478
EXCLUDE	20034544
EXCLUDE	20034545
EXCLUDE	20035829
EXCLUDE	20036314
EXCLUDE	20036315
EXCLUDE	20036714
EXCLUDE	20036717
EXCLUDE	20036723
EXCLUDE	20038443
EXCLUDE	20038444
EXCLUDE	20040367
INCLUDE	20042702
INCLUDE	20043887
EXCLUDE	20043974
EXCLUDE	20043976
EXCLUDE	20045038
EXCLUDE	20045451
EXCLUDE	20045719
EXCLUDE	20045894
EXCLUDE	20045897
INCLUDE	20045899
EXCLUDE	20045901
EXCLUDE	20051233
INCLUDE	20053845
EXCLUDE	20053849
EXCLUDE	20056127
INCLUDE	20056129
EXCLUDE	20056130
EXCLUDE	20056131
INCLUDE	20056135
EXCLUDE	20056139
EXCLUDE	20059989
EXCLUDE	20060032
INCLUDE	20060034
INCLUDE	20060035
EXCLUDE	20060436
INCLUDE	20060438
INCLUDE	20060460
INCLUDE	20060884
INCLUDE	20064491
EXCLUDE	20064853
EXCLUDE	20064855
EXCLUDE	20071623
EXCLUDE	20071625
EXCLUDE	20071632
INCLUDE	20074625
INCLUDE	20074632
EXCLUDE	20079337
EXCLUDE	20079346
EXCLUDE	20079403
EXCLUDE	20079808
INCLUDE	20080147
EXCLUDE	20080149
EXCLUDE	20080150
EXCLUDE	20080152
EXCLUDE	20089816
EXCLUDE	20093174
EXCLUDE	20096330
EXCLUDE	20096331
EXCLUDE	20096333
INCLUDE	20096335
EXCLUDE	20096669
EXCLUDE	20096750
EXCLUDE	20096752
EXCLUDE	20097264
EXCLUDE	20097279
EXCLUDE	20100739
EXCLUDE	20100741
EXCLUDE	20105451
EXCLUDE	20105453
EXCLUDE	20107118
INCLUDE	20107127
EXCLUDE	20107128
EXCLUDE	20107129
INCLUDE	20107132
EXCLUDE	20109529
INCLUDE	20114035
EXCLUDE	20116415
EXCLUDE	20116419
EXCLUDE	20117173
EXCLUDE	20117174
EXCLUDE	20122901
EXCLUDE	20123000
EXCLUDE	20123002
EXCLUDE	20123120
EXCLUDE	20123783
EXCLUDE	20123784
EXCLUDE	20130038
EXCLUDE	20130040
EXCLUDE	20130041
INCLUDE	20130043
EXCLUDE	20132864
EXCLUDE	20132866
INCLUDE	20132867
EXCLUDE	20132869
INCLUDE	20138028
EXCLUDE	20138119
EXCLUDE	20138122
EXCLUDE	20138127
EXCLUDE	20138851
EXCLUDE	20138970
EXCLUDE	20138974
EXCLUDE	20141765
EXCLUDE	20142269
EXCLUDE	20142271
EXCLUDE	20142274
EXCLUDE	20142275
EXCLUDE	20144689
EXCLUDE	20144691
INCLUDE	20144697
EXCLUDE	20144699
EXCLUDE	20147417
EXCLUDE	20149783
INCLUDE	20149841
EXCLUDE	20149842
EXCLUDE	20152880
EXCLUDE	20152881
INCLUDE	20152884
EXCLUDE	20152885
EXCLUDE	20153298
EXCLUDE	20153299
EXCLUDE	20153403
EXCLUDE	20153737
EXCLUDE	20153738
EXCLUDE	20153807
EXCLUDE	20156524
EXCLUDE	20164390
EXCLUDE	20167206
INCLUDE	20167256
EXCLUDE	20167258
EXCLUDE	20167259
INCLUDE	20167261
EXCLUDE	20176001
EXCLUDE	20176082
EXCLUDE	20178832
EXCLUDE	20178834
EXCLUDE	20181735
INCLUDE	20184943
INCLUDE	20184948
EXCLUDE	20184949
EXCLUDE	20188142
INCLUDE	20188149
EXCLUDE	20188152
EXCLUDE	20188154
EXCLUDE	20193738
EXCLUDE	20193741
EXCLUDE	20193743
EXCLUDE	20193750
EXCLUDE	20194124
EXCLUDE	20194125
EXCLUDE	20194127
EXCLUDE	20194131
EXCLUDE	20194133
EXCLUDE	20197064
INCLUDE	20206235
EXCLUDE	20211154
EXCLUDE	20211609
EXCLUDE	20211610
INCLUDE	20211697
EXCLUDE	20211698
INCLUDE	20211700
EXCLUDE	20211704
INCLUDE	20211975
EXCLUDE	20211983
EXCLUDE	20219631
EXCLUDE	20219633
EXCLUDE	20219634
EXCLUDE	20219648
EXCLUDE	20220081
EXCLUDE	20223226
INCLUDE	20223280
INCLUDE	20223282
EXCLUDE	20226230
INCLUDE	20226232
INCLUDE	20226768
INCLUDE	20227462
EXCLUDE	20227464
EXCLUDE	20231147
EXCLUDE	20298684
EXCLUDE	20298749
EXCLUDE	20298759
EXCLUDE	20298762
EXCLUDE	20303337
EXCLUDE	20303338
EXCLUDE	20304030
INCLUDE	20307510
EXCLUDE	20307636
EXCLUDE	20308253
EXCLUDE	20332016
EXCLUDE	20338151
EXCLUDE	20338225
EXCLUDE	20338226
INCLUDE	20346391
INCLUDE	20347011
INCLUDE	20347939
EXCLUDE	20347945
EXCLUDE	20350587
EXCLUDE	20350589
EXCLUDE	20351041
INCLUDE	20351049
EXCLUDE	20353762
EXCLUDE	20359525
EXCLUDE	20359526
EXCLUDE	20360027
INCLUDE	20362644
EXCLUDE	20371267
EXCLUDE	20371268
EXCLUDE	20371269
EXCLUDE	20371277
EXCLUDE	20371377
EXCLUDE	20375140
EXCLUDE	20380824
EXCLUDE	20381470
INCLUDE	20381473
EXCLUDE	20381586
EXCLUDE	20381587
EXCLUDE	20381588
EXCLUDE	20381589
EXCLUDE	20382134
EXCLUDE	20382135
EXCLUDE	20382206
EXCLUDE	20385204
EXCLUDE	20385205
EXCLUDE	20388498
INCLUDE	20394799
EXCLUDE	20394801
INCLUDE	20394802
EXCLUDE	20398736
EXCLUDE	20398738
EXCLUDE	20399252
EXCLUDE	20399253
EXCLUDE	20399256
EXCLUDE	20403413
EXCLUDE	20406669
INCLUDE	20416359
EXCLUDE	20417250
INCLUDE	20417252
EXCLUDE	20417256
EXCLUDE	20417694
INCLUDE	20420813
EXCLUDE	20421283
EXCLUDE	20421284
EXCLUDE	20423699
INCLUDE	20430080
INCLUDE	20430082
INCLUDE	20430087
INCLUDE	20430089
EXCLUDE	20430090
INCLUDE	20433897
EXCLUDE	20433898
INCLUDE	20433901
EXCLUDE	20433905
EXCLUDE	20434522
EXCLUDE	20434528
EXCLUDE	20435099
EXCLUDE	20436038
EXCLUDE	20436041
EXCLUDE	20436042
INCLUDE	20438721
INCLUDE	20438805
EXCLUDE	20438808
INCLUDE	20438810
INCLUDE	20438814
EXCLUDE	20438823
EXCLUDE	20438824
EXCLUDE	20442265
EXCLUDE	20451504
EXCLUDE	20451507
INCLUDE	20451586
EXCLUDE	20452401
EXCLUDE	20452406
EXCLUDE	20457221
EXCLUDE	20457223
INCLUDE	20457226
EXCLUDE	20457238
INCLUDE	20460115
INCLUDE	20466037
EXCLUDE	20470764
EXCLUDE	20470865
EXCLUDE	20470866
INCLUDE	20470874
INCLUDE	20471377
EXCLUDE	20471378
EXCLUDE	20472034
INCLUDE	20472035
EXCLUDE	20478276
EXCLUDE	20478278
EXCLUDE	20478356
INCLUDE	20478357
EXCLUDE	20478359
EXCLUDE	20478361
EXCLUDE	20478367
EXCLUDE	20478368
INCLUDE	20488168
EXCLUDE	20493176
EXCLUDE	20493235
EXCLUDE	20493242
EXCLUDE	20493932
EXCLUDE	20498227
EXCLUDE	20498228
EXCLUDE	20498233
INCLUDE	20498234
EXCLUDE	20501327
EXCLUDE	20510339
INCLUDE	20510892
EXCLUDE	20513366
EXCLUDE	20515664
EXCLUDE	20516339
EXCLUDE	20516340
EXCLUDE	20516342
EXCLUDE	20516344
EXCLUDE	20516349
EXCLUDE	20519317
EXCLUDE	20519318
INCLUDE	20519320
EXCLUDE	20537989
EXCLUDE	20538047
EXCLUDE	20538048
EXCLUDE	20540934
EXCLUDE	20540989
EXCLUDE	20542089
EXCLUDE	20542092
INCLUDE	20542093
EXCLUDE	20542094
EXCLUDE	20546705
EXCLUDE	20546711
EXCLUDE	20547144
EXCLUDE	20547679
EXCLUDE	20547682
EXCLUDE	20553803
EXCLUDE	20553817
EXCLUDE	20558148
EXCLUDE	20561510
EXCLUDE	20561561
INCLUDE	20561573
INCLUDE	20561574
EXCLUDE	20566385
EXCLUDE	20570602
EXCLUDE	20570603
EXCLUDE	20570607
EXCLUDE	20570714
EXCLUDE	20570717
EXCLUDE	20573572
EXCLUDE	20580637
EXCLUDE	20580659
EXCLUDE	20580660
EXCLUDE	20580772
EXCLUDE	20580784
EXCLUDE	20580788
INCLUDE	20580801
EXCLUDE	20594945
EXCLUDE	20595020
EXCLUDE	20595050
EXCLUDE	20595051
EXCLUDE	20599476
EXCLUDE	20599478
EXCLUDE	20599586
EXCLUDE	20599592
EXCLUDE	20599821
EXCLUDE	20599833
EXCLUDE	20599835
EXCLUDE	20599836
EXCLUDE	20600590
INCLUDE	20600592
EXCLUDE	20600595
EXCLUDE	20600600
EXCLUDE	20600601
EXCLUDE	20600607
EXCLUDE	20600609
EXCLUDE	20600612
EXCLUDE	20600618
EXCLUDE	20600620
EXCLUDE	20600623
EXCLUDE	20600639
EXCLUDE	20600640
EXCLUDE	20600644
EXCLUDE	20600647
EXCLUDE	20600648
EXCLUDE	20600649
EXCLUDE	20600654
EXCLUDE	20600655
EXCLUDE	20600656
INCLUDE	20600657
INCLUDE	20600667
INCLUDE	20600669
EXCLUDE	20600675
EXCLUDE	20600738
INCLUDE	20600740
EXCLUDE	20603183
INCLUDE	20603186
EXCLUDE	20603189
EXCLUDE	20603191
EXCLUDE	20603193
EXCLUDE	20603331
EXCLUDE	20603333
EXCLUDE	20603337
INCLUDE	20603338
EXCLUDE	20609381
EXCLUDE	20610036
EXCLUDE	20619318
INCLUDE	20620193
EXCLUDE	20620197
EXCLUDE	20620199
EXCLUDE	20621161
EXCLUDE	20624375
EXCLUDE	20624377
INCLUDE	20624793
EXCLUDE	20624794
EXCLUDE	20630476
EXCLUDE	20630477
EXCLUDE	20633613
EXCLUDE	20634182
EXCLUDE	20634183
EXCLUDE	20634184
EXCLUDE	20637742
EXCLUDE	20637833
INCLUDE	20637834
EXCLUDE	20638442
EXCLUDE	20638447
EXCLUDE	20638463
INCLUDE	20638464
EXCLUDE	20638959
EXCLUDE	20639000
EXCLUDE	20639005
EXCLUDE	20643194
EXCLUDE	20643767
EXCLUDE	20643768
EXCLUDE	20643777
EXCLUDE	20650306
EXCLUDE	20650307
EXCLUDE	20654589
EXCLUDE	20654597
EXCLUDE	20654699
EXCLUDE	20654702
EXCLUDE	20655300
EXCLUDE	20655362
EXCLUDE	20659540
EXCLUDE	20660565
EXCLUDE	20660566
EXCLUDE	20660568
EXCLUDE	20673789
EXCLUDE	20674554
INCLUDE	20674557
EXCLUDE	20674683
INCLUDE	20674684
INCLUDE	20674686
INCLUDE	20674687
EXCLUDE	20675813
INCLUDE	20678546
INCLUDE	20678549
EXCLUDE	20678553
EXCLUDE	20678554
EXCLUDE	20678556
EXCLUDE	20679351
INCLUDE	20679355
EXCLUDE	20685230
EXCLUDE	20685231
INCLUDE	20685388
EXCLUDE	20685612
EXCLUDE	20688135
INCLUDE	20691167
EXCLUDE	20691766
INCLUDE	20691767
EXCLUDE	20693292
EXCLUDE	20693294
EXCLUDE	20696148
EXCLUDE	20696211
EXCLUDE	20696214
EXCLUDE	20696229
EXCLUDE	20705061
EXCLUDE	20705119
INCLUDE	20707989
EXCLUDE	20708656
EXCLUDE	20709036
EXCLUDE	20709146
EXCLUDE	20709148
EXCLUDE	20709149
EXCLUDE	20709151
INCLUDE	20709153
EXCLUDE	20710039
EXCLUDE	20713023
INCLUDE	20713027
EXCLUDE	20723582
INCLUDE	20724365
EXCLUDE	20727397
EXCLUDE	20727939
EXCLUDE	20727945
INCLUDE	20727947
INCLUDE	20727948
EXCLUDE	20727949
EXCLUDE	20728435
EXCLUDE	20728507
EXCLUDE	20728508
EXCLUDE	20732309
EXCLUDE	20732394
EXCLUDE	20735999
EXCLUDE	20736419
INCLUDE	20736420
EXCLUDE	20800646
INCLUDE	20800648
EXCLUDE	20800661
INCLUDE	20800662
EXCLUDE	20800664
EXCLUDE	20804821
INCLUDE	20807519
EXCLUDE	20807792
INCLUDE	20807794
EXCLUDE	20810359
EXCLUDE	20813167
INCLUDE	20813177
EXCLUDE	20813178
EXCLUDE	20816724
EXCLUDE	20816763
EXCLUDE	20816918
EXCLUDE	20816923
EXCLUDE	20816926
EXCLUDE	20817076
INCLUDE	20817079
INCLUDE	20819943
EXCLUDE	20819944
EXCLUDE	20828545
EXCLUDE	20833228
EXCLUDE	20833230
EXCLUDE	20837104
EXCLUDE	20837105
INCLUDE	20837107
EXCLUDE	20837108
EXCLUDE	20837109
EXCLUDE	20837640
EXCLUDE	20837644
EXCLUDE	20840842
EXCLUDE	20843834
INCLUDE	20846512
EXCLUDE	20849913
EXCLUDE	20849921
EXCLUDE	20849931
INCLUDE	20850419
EXCLUDE	20851161
EXCLUDE	20851162
EXCLUDE	20851169
INCLUDE	20851170
EXCLUDE	20854877
EXCLUDE	20854880
INCLUDE	20854882
EXCLUDE	20855438
EXCLUDE	20858463
INCLUDE	20858468
EXCLUDE	20868728
EXCLUDE	20868730
EXCLUDE	20868734
EXCLUDE	20869350
EXCLUDE	20870010
EXCLUDE	20870012
EXCLUDE	20870014
EXCLUDE	20875798
EXCLUDE	20875840
EXCLUDE	20875843
EXCLUDE	20876203
EXCLUDE	20883673
EXCLUDE	20884323
INCLUDE	20884331
EXCLUDE	20884333
EXCLUDE	20888891
EXCLUDE	20889487
EXCLUDE	20889488
EXCLUDE	20921195
EXCLUDE	20921201
EXCLUDE	20921202
EXCLUDE	20923697
EXCLUDE	20933576
EXCLUDE	20933580
EXCLUDE	20933583
INCLUDE	20937710
EXCLUDE	20937711
INCLUDE	20950672
EXCLUDE	20950673
EXCLUDE	20951682
EXCLUDE	20951774
EXCLUDE	20952374
EXCLUDE	20952375
EXCLUDE	20955770
INCLUDE	20961999
EXCLUDE	20962000
EXCLUDE	20962003
EXCLUDE	20965158
EXCLUDE	21037311
EXCLUDE	21037312
INCLUDE	21041525
EXCLUDE	21078598
EXCLUDE	21078602
EXCLUDE	21109037
EXCLUDE	21123203
EXCLUDE	21123204
EXCLUDE	21173085
