PMID	SUPPORTS
20026091	The D1 dopamine receptor (D1R) antibody-labeled small cells resembling medium spiny neurons (black arrows).
20032232	Phosphoinositide-3-kinase (PI3K) localizes to the olfactory cilia and can be activated by odorants. A: Western blot analysis of the catalytic p110 subunit using a pan-specific PI3K antibody (p110pan) and antibodies against p110 and p110 in rat spleen extract, deciliated olfactory receptor neuron (ORN) membranes, and olfactory cilia-enriched membranes.
20107132	Responses to only the four basic taste stimuli were included in the cluster analysis for comparison with those of our previous single unit investigations in the geniculate ganglion (Breza et al. 2006, 2007; Lundy and Contreras 1999). Analysis of agglomeration by way of the screen plot (data not shown) indicated that an abrupt upward deflection occurs around 0.3, separating the neurons into five groups, as indicated by the solid vertical line in the cluster analysis.
20307510	In agreement with the results from CA1 cells, we observed increased GR-IR in the nuclear compartment after glucocorticoid treatment visualized with H300 (Fig. 5A, p < 0.01), but not with M20 (Fig. 5B, p = 0.62).
20438805	Our results indicate that the co-cultures of OECs and SGCs can be successfully established and that both OECs and OEC-CM promote SGCs survival in vitro.|SGCs survival was most enhanced when co-cultured with OECs. Both Olfactory bulb (OB) and OECs were proved to express BMP-4 and NCAM while BMPR-1A and a7 integrin were also detected in cochlea and SGCs.
20478357	In the current study, we explored whether chronic salicylate exposure could induce apoptosis in outer hair cells (OHCs) and spiral ganglion neurons (SGNs) of the cochlea.
20638464	A two way ANOVA (strain, age) showed that hair cell number was not significantly affected by strain (F(1,22) - 2.87, p > .05) but was significantly affected by age (F(2,22) - 23.98, p < .0001), with a significant interaction between strain and age (F(2,22) - 9.045, p < .01).
20858468	Results showed that application of rat recombinant TNF- (rrTNF) into the cultured normal adult rat DRG neurons increased the immunoreactive (IR) of Nav1.3 localized mainly around the cell membrane and pre-treatment with PDTC blocked the change dosedependently.
19837138	Twenty-four hour NMDA (10 M) exposure produced marked neurodegeneration (350% of control cultures) in the CA1 pyramidal cell region that was significantly reduced by co-exposure to ifenprodil or DL-2-Amino-5-phosphonopentanoic acid (APV).
20206235	Cochleograms showing degree of outer hair cell (OHC, dashed line) and inner hair cell (IHC, solid line) loss as function of percent distance from the apex of the noise exposed cochlea (126 dB, 100 Hz narrowband noise centered at 12 kHz, 2 h) in nine rats allowed to survive for 10 wk (B1, D3, E, F, C1, D1, C3, A4, B4).
20451586	Most retrogradely labeled cells were located in the ipsilateral medial nucleus of the trapezoid body (MNTB) and contralateral anteroventral cochlear nucleus.
20850419	In the CA3 region and dentate gyrus the range of variation in mRNA expression was significantly reduced gradually.
19903514	All the OHC nuclei (red) were normal/intact, but prestin staining in some OHCs was lower compared to the others.
19961903	In addition, we examined that serum Gc increased by restraint stress aggravated kainic acid (KA)-induced neuronal death in hippocampal CA3 region.|Histological analysis method in pyramidal layer of hippocampal CA3 region was performed following under procedures (Sapolsky et al., 1985).
20416359	Electrical stimulation of the dorsal root induced a reproducible eEPSC in most of the SG neurons recorded (92%; n = 65), 69.2% of them were monosynaptic or mono plus polysynaptic (Fig. 1).
20417252	Using in situ hybridization and film autoradiography, an obvious 2 mRNA signal in the TH-defined LC (Fig. 1A) was revealed by the two antisense probes designed to hybridize to different locations of human GABAA receptor 2 subunit mRNA.
20600667	The improvement of auditory function by FA was paralleled by a significant reduction in oxidative stress, apoptosis and increase in hair cell viability in the organ of Corti.
20713027	Within the CA3 the CnB1 and CnB2 isoforms (Sham Figs. 1 and 3) appear to be predominantly in the stratum pyramidale with little expression within the dendritic and axonal layers of the stratum radiatum and stratum oriens.
20854882	The results revealed an agerelated decrease in macular axo-spinous synapses that was not reversed by CR that occurred in the absence of changes in the size of synapses or spines.
21041525	Western blot data showed that P2X3 receptors were significantly upregulated in doral root ganglion (DRG) of CHF rats whereas VR1 receptors were significantly downregulated.
20060460	Gentamicin is ototoxic to all hair cells in the fish lateral line system.
20394799	Cerebellar granule cells were prepared from 8-day-old rats and cultured as described previously [11], with minor modifications.|Dose-dependent effects of five compounds on histone H3 acetylation levels in cerebellar granule cells.
20430089	In contrast, salicylate had no effect on the spontaneous or evoked firing of cartwheel cells indicating that salicylate's suppressive effects are specific to fusiform cells.
20347939	The stimulation of a dorsal root with rectangular pulses of 0.5 ms at 0.1 Hz evoked monosynaptic (MSR) and polysynaptic reflex (PSR) potentials in the segmental ventral root.
20420813	Modulation of NMDA and AMPA-mediated synaptic transmission by CB1 receptors in frontal cortical pyramidal cells.
20457226	Recording of evoked fEPSPs was performed by extracellular glass microelectrode (0.6 -1.0 M resistance) using Axopatch-1D amplifier (Molecular Devices, Axon Instruments, Inc., CA, USA) from the hippocampal CA1 pyramidal neurons at the apical dendritic layers.
20471377	In addition, PSD reduced the Ih amplitude and the rebound excitability of CA1 pyramidal neurons.
20472035	We observed immunoreactivity for CGRP, CLR and RAMP1, in the human trigeminal ganglion: 49% of the neurons expressed CGRP, 37% CLR and 36% RAMP1.
20600669	Perfusion of slices with SR101 (1 M) for 10 min induced long-term potentiation of intrinsic neuronal excitability (LTP-IE) and a long-lasting increase in evoked EPSCs (eEPSCs) in CA1 pyramidal neurons in hippocampal slices.
20800648	DRGs co-cultured with mechanically injured ASTs from C3-deficient mice also showed improved neurite outgrowth.
20600592	NMDA exposure produced a significant increase in PI uptake in the pyramidal cell layer of the CA1 in METH-naive tissue.
19837134	As is known, disinhibition in the CA1-region can cause a depolarization of pyramidal cells.
19948656	We show that the speed of ramp-like mechanical stimulation determines the dynamics of mechanically activated current responses and hence the type of DRG neuron most likely to be activated.
20005924	Acute spinal cord slices from 6 to 10 day old mice were used to record EPSCs evoked in visually identified superficial DH neurons by dorsal root primary afferent stimulation.
20060035	Properties of synaptic transmission from the reticular formation dorsal to the facial nucleus to trigeminal motoneurons during early postnatal development in rats.
20679355	For example, cerebellar granule neurons cultured for 16 days undergo reproducible inactivating inward sodium current and non-inactivating outward potassium current upon repeated voltage clamped cycles of 0 mV depolarization (Fig. 5A and Suppl. Table 5).
20950672	S1P significantly increased the rate of AMPA-mEPSCs recorded from CA3 pyramidal neurons, without affecting their amplitude (P0.01, Kolmogorov-Simirnov test) (Fig. 1A).
19857553	No difference was detected in CB mRNA and protein levels between aged and adult rats (P > 0.05).
19906875	LTP Based on the preceding data, we deduce that HFS activates the NMDA receptors on spinal dorsal horn neurons, which leads to endogenous ROS generation, and then ROS leads tofEPSP slope (% of control) 0 20 40 60 80 Time (min) 100 120.
20080147	IL-1RI immunoreactivity was detected in some neurons (particularly, CA1 pyramidal cells; Fig. 6C1) as well as astrocytes.
20362644	Kainate-induced delayed onset of excitotoxicity with functional loss unrelated to the extent of neuronal damage in the in vitro spinal cord.|Motoneurons were counted as large ventral horn cells immunopositive for SMI 32 in laminae VIII and IX.
20736420	We found that a direct microinjection of AAV vectors into the vagal nodose ganglia in vivo leads to selective, effective and long-lasting transduction of the vast majority of primary sensory vagal neurons without transduction of parasympathetic efferent neurons.
20807519	These results indicate that cannabinoid inhibition of nociceptive reflexes produced by WIN-2 and THC may result from inhibition of dorsal horn neurons through a KOR-dependent mechanism.
20580801	The cochlear implant electrode array is located in the inner region and the SG neurons lie in the outer region.
20603186	However, TBI significantly decreased the number of Purkinje neurons (P < 0.05), whereas treadmill exercise significantly alleviated reduction of Purkinje neurons by the TBI (Fig. 1B arrows, P < 0.05).
20685388	Inner hair cells compress and rectify the signal.
20152884	The pre-B-tzinger complex (pre-B-tC), a subregion of the ventrolateral medulla involved in respiratory rhythm generation, contains intrinsically bursting pacemaker neurons.
19833108	LGI1 expression in the hippocampal formation was restricted to the pyramidal and granular layers, whereas scattered labeling was observed outside these areas (Fig. 2C).|In the cerebellum, some labeled cells were observed in the deep cerebellar nuclei and in the Purkinje cell layer.|Weak LGI4 labeling was observed in the pyramidal and granular layers of the hipoccampal formation, whereas scattered putative interneurons showed strong labeling (Fig. 6B).
19879331	CFP-expressing cells in retinas with optic nerve transection.
20138028	Newly delaminated ganglion mother cells still expressed VDUP1 (yellow arrowheads).
20394802	Immunohistochemical labelling obtained with mAChR (M1R-M5R) antibodies on DRG sections, Cy3 conjugated secondary antisera.
20510892	Substantial numbers of pyramidal neurons in all neocortical areas were eYFP+; we did not observe labeled neurons with a non-pyramidal morphology.|A sizable population of large spiny neurons in the amygdala and their axons are intensely eYFP+ (Fig. 5, Supplemental material Fig. SM5).|Again, virtually all of the labeled cells had the morphology of projection neurons; they were either granule cells in dentate gyrus (DG) or pyramidal cells in Ammon's horn fields (CA1, CA2 and CA3) and subiculum (Fig. 1B, Supplementary material Figs. SM1-SM5).
20846512	In 1-month-old Bax-deficient (Bax-/-) mice, distinct subsets of DRG neurons that were immunopositive for TrkA, CGRP, TRPV1 or TrkC, were all increased in number and exhibited cell atrophy compared to wild type DRG neurons.
20851170	5-Lipoxygenase in mouse cerebellar Purkinje cells.
19833105	The SCG10 positive cells were scattered throughout the neuronal layer in tissue from all ages analyzed but appeared to be more numerous in young animals.
20056129	After facial nerve axotomy, TLR2 mRNA was significantly upregulated in the facial motor nucleus and co-immunofluorescence localized TLR2 to CD68+ microglia, but not GFAP+ astrocytes.
20184948	Immunohistochemistry results showed that the Cx30.3 protein was clearly present in the ganglion cells of the SG (Fig. 3a, arrows).
20188149	Properties of GABAergic inputs and glutamate receptors of YFP and YFP CRc.
20438721	In the chicken retina, protocadherin-19 was expressed as early as embryonic day 5 and was localized in the ganglion cell layer, inner plexiform layer, and optic nerve layer.
20603338	The experiments described above with photolytic release of L-glutamate indicate that the facilitation of the mGluR1 current seen with AMPA receptor antagonists at the PF-Purkinje cell synapse is a postsynaptic phenomenon, involving cross-talk between AMPARs and the mGluR signalling pathway.
20724365	The cerebellar cortex is crucial for sensorimotor integration. Sensorimotor inputs converge on cerebellar Purkinje cells via two afferent pathways: the climbing fibre pathway triggering complex spikes, and the mossy fibre-parallel fibre pathway, modulating the simple spike activities of Purkinje cells.|We show that most Purkinje cells in ipsilateral crus 1 and crus 2 of awake mice respond to whisker stimulation with complex spike and/or simple spike responses.
20045899	These two populations can also be discriminated by the presence of pro-inflammatory peptides and by the expression of neurotrophin receptors; IB4neurones have high levels of neuropeptides such as calcitonin gene-related peptide and substance P, and express receptors for nerve growth factor, whereas IB4+ neurones are neuropeptide poor and express receptors for glial cell line-derived neurotrophic factor.
20149841	In rats treated as neonates with anesthesia-only, Type II neurons demonstrated increased spontaneous and UBD-evoked activity following adult intravesical zymosan treatment whereas Type I neurons demonstrated decreased spontaneous and UBD-evoked activity relative to controls.
20223280	Expression of R1 in the rat retina.
20381473	Photographic representation of the pyramidal neurons of BLA stained with rapid Golgi method.
20674557	Expression of ORC3 and ORC5 in cerebellar granule cells differentiating in culture.
20678546	Two types of ON direction-selective ganglion cells in rabbit retina.|Direction-selective ganglion cells (DSGCs) respond with robust spiking to image motion in a particular direction. Previously, two main types of DSGCs have been described in rabbit retina: the ON-OFF DSGCs respond to both increases and decreases in illumination, whereas the ON DSGCs respond only to increases in illumination.
20678549	The GABAergic projection from the basal forebrain ends selectively on interneurons, specifically on type 1 periglomerular cells and granule cells, and is likely to control the activity of the olfactory bulb via disinhibition of principal cells.
20691767	Immature GC were sparsely distributed in the sub granular zone of the DG or the inner third of the granular layer.
20800662	In adult rat nodose ganglion neurons, application of 1 M THC caused a significant inhibition of 5-HT3 receptors, extent of which correlated with the density of 5-HTinduced currents, indicating that the observed THC effects occur in mammalian neurons.
20211975	To address this, I have made paired recordings from BC terminals (BCTs) and neurons in the ganglion cell layer (GCL) in goldfish retinal slices.|BCT depolarisation evoked short-latency, AMPA/kainate receptor-mediated EPSCs in connected GCL neurons.
20351049	Using extracellular recording and voltage-sensitive dye imaging in rat and mouse Purkinje cells, we show that both simple and complex spikes are generated in the proximal axon, 15-20 m from the soma.
20624793	To examine the temporal tuning of the DSGCs, the cells were stimulated with either a grating drifted over the receptive-field centre at a range of velocities or with a light spot flickered at different temporal frequencies.
20817079	The effects of cocaine on BrdU labeling in the SGZ: the effects of chronic cocaine exposure on the number of BrdU+ cells in the SGZ (A), at 1, 3 and 5 days post-labeling (A), and according to spatial distribution along the dorso-ventral axis (B). Chronic cocaine treatment results in a significantly greater number of BrdU+ cells in the SGZ and the total number of BrdU+ cells significantly decreased as the post-labeling time increased from 1 day to 3 days and 1 day to 5 days postlabeling/cocaine abstinence (A).
20819943	Light increases the gap junctional coupling of retinal ganglion cells.
19815055	In the present study, the protein expression and the electrophysiological characteristics of HCN channels were investigated in nodose ganglion (NG) afferent neurons (A-fiber and C-fiber neurons) from sham and streptozotocin (STZ)-induced diabetic rats.|Protein expression of HCN channel isoforms in nodose ganglia from sham and diabetic rats, measured by Western blot (A-D). Data are meanSE, n8 rats in each group.
19819309	A typical GABAergic AC had a soma larger than 10 m in diameter with multiple long processes (left, Fig. 1A). The cell was positive to the anti-GABA antibody (right, Fig. 1A).
19909790	The chemoanatomical organization of the visual sector of the cat's thalamic reticular nucleus (TRN)--that is at the dorsal lateral geniculate nucleus (dLGN) and at the pulvinar nucleus (Pul)--was investigated with two novel cytoarchitectonic markers.|The labeled neurons showed typically fusiform morphology with dendrites orienting in the plane of TRN.
19958820	Immunohistochemical study revealed a dense network of amylin-immunoreactive (irAMY) cell processes in the superficial dorsal horn of the mice.
20006972	In capsaicinsensitive DRG neurons from wild-type mice, acid (>pH 5.0) evoked [Ca2]i increases, but not in DRG neurons from transient receptor potential V1 (TRPV1) (/) mice.
20060438	Functional and in situ hybridization evidence that preganglionic sympathetic vasoconstrictor neurons express ghrelin receptors.
20132867	A slight decrease of current amplitudes was induced by ischemia.
20184943	Cellular proliferation in the subgranular zone of the adult male Syrian hamster.
20347011	Transient forebrain ischemia induced by bilateral common carotid artery occlusion (BCCAO) for 20 min increases cell proliferation in the dentate gyrus (DG) of adult mice.
20466037	A moderate concentration of NE (10 M) and the 1 receptor agonist phenylephrine (10 M) depolarized and increased spontaneous or current injection-evoked spiking in GCs. By contrast, low NE concentrations (0.1-1.0 M) or the 2 receptor agonist clonidine (Clon, 10 M) hyperpolarized and decreased the discharge of GCs.
20488168	It was shown that the potentiation effect that low concentration Zn2+ (10 -M) exerted on the amplitude of the current mediated by Ca2+permeable AMPA receptors was more remarkable in the presence of moderate concentration of CTZ (20 -M).
20561574	We investigated the contribution of systemic inhibition on spike timing in SBCs by iontophoretic application of glycine- and GABA-receptor antagonists (strychnine, bicuculline). Discharge rate increased in one-third of the units during antagonist application, which was accompanied by a deterioration of phase-coupling accuracy in half of those units.
20637834	Moreover, spontaneous excitatory postsynaptic currents (sEPSCs) were increased by isotonic increases in [Na+ ]o in the parvocellular neurons. Bath application AMPA receptor antagonist CNQX or non-selective glutamate antagonist kynurenic acid almost completely blocked the sEPSCs.
20709153	Effect of ceramide on cochlear hair cells. Representative microphotographs of hair cells cultured with 10, 100, or 200 M ceramide (without gentamicin) (upper, phalloidin staining). Quantitative analysis of hair cell loss in explants treated with ceramide (without gentamicin) for 48 h (lower). Ceramide itself induced hair cell loss at 150 and 200 M (*one-way ANOVA and Bonferroni test: p < 0.05).
20837107	Postnatal development enhances the effects of cholinergic inputs on recruitment threshold and firing rate of rat oculomotor nucleus motoneurons.
19923250	Potassium current inhibited by 5 mM 4-Aminopyridine treatment.
19925855	We found that excitatory postsynaptic currents (EPSCs) of pyramidal neurons were rapidly depressed by 0.1 Hz stimulation in acutely prepared slices from rats at 11-12 postnatal days, while this phenomena disappeared in slices from young adolescent rats (23-24 postnatal days).
20053845	Effects of thalamic neuromodulators on FS cells in barrel cortex.
20060884	IK,n was blocked by the KCNQchannel blockers, linopirdine (100 lM) and XE991 (10 lM), but was insensitive to both IK,f blocker, tetraethylammonium (TEA), and IK,s blocker, 4-aminopyridine (4-AP).
20433901	Muscarine induced firing of BCs.
20438814	Thus, in the presence of CNP the threshold for LTP induction was shifted to higher stimulus frequencies, a modulation that showed layer-specific differences in area CA1. Effects of CNP were prevented by the NPR-B antagonist HS-142-1.
20460115	In these motoneurons, EPSCs and GABAergic IPSCs were blocked by the application of CNQX, AP-5 and bicuculline.
20600657	We found peaks in spike cross-correlograms indicating correlated activity on both fast (peak width 1-50 ms) and slow (peak width>50 ms) time scales, only in pairs with convergent glomerular projections.
20727948	Identification of PTEN in the differentiating HCs of inner ear.
19897018	In this report we use BK channels in frog (Rana pipiens) hair cells to monitor dynamic changes in intracellular Ca2 concentration during transient influxes of Ca2, showing that BK current magnitude and delay to onset are correlated with the rate and duration of Ca2 entry through Ca2 channels.
20167261	Phenytoin concurrently increased background inhibition (Ibg) but decreased background excitation (Ebg).
20211700	Effects of D1R activation on membrane potential and resting conductances of NAc MSNs. Representative traces from two MSNs showing membrane depolarization (A) and inward current (B) elicited by a 10-min bath application of the D1R agonist, SKF-38393 (30 M).
20223282	TOOTH PULP INFLAMMATION INCREASES BRAIN-DERIVED NEUROTROPHIC FACTOR EXPRESSION IN RODENT TRIGEMINAL GANGLION NEURONS.
20674684	Following SE, IL-18 immunoreactivity was increased in CA1-3 pyramidal cells as well as dentate granule cells.
19815003	In both the normal and epileptic hippocampus, aromatase was detected in numerous CA1-CA3 pyramidal neurons, in granule cells of the dentate gyrus and in interneurons that co-expressed the calcium-binding proteins calbindin, calretinin or parvalbumin.
20130043	A CSD analysis reveals sinks and sources of Cl ions in different layers. Sources of Cl were revealed in the alveus/str. oriens and upper granule cell layer while sinks were located in the stratum oriens and lacunosum-moleculare and the hilus.
20430082	Immunopositive layer V pyramidal cells are observed in all areas of auditory cortex and are consistently the most intensely reactive cells.
20430087	The expression of purinergic receptors (P2X) on rat vestibular ganglion neurons (VGNs) was examined using whole-cell patch-clamp recordings.
19853587	To determine the functions of the other family members, 4.1G and 4.1B, we observed their expression patterns in developing stereocilia in mice inner ear hair cells. 4.1G is expressed in the basal tapers of the stereocilia bundle in early postnatal stages. 4.1B was specifically and constantly expressed in the stereocilia tips during postnatal development. Additionally, we found that 4.1B is ablated in the hair cells of both myosin XV and whirlin mutant mice at all stages in hair cell development.
20074632	The purpose of the present study was to examine the effects of E2 on gentamicin-induced apoptotic cell death in outer hair cells. The basal turn organ of Corti explants from p3 or p4 rats were maintained in a tissue culture and exposed to 100 lM gentamicin for 48 h. The effects of E2 on gentamicin-induced outer hair cell loss, JNK activation, and staining for terminal deoxynucleotidyl transferase-mediated biotinylated UTP nick-end labeling (TUNEL) were examined. E2 significantly decreased gentamicin-induced outer hair cell loss in a dose-dependent manner.
20167256	Compression was found to shorten the apical, but not basal, dendrites of underlying layer III and V cortical pyramidal neurons and reduced dendritic spines on the entire dendritic arbor immediately.
20096335	The results presented here show that the GABAA receptor population which is involved in tonic GABA mediated inhibition of cerebellar granule cells is relatively insensitive to 1,5benzodiazepine as it is to "classical" 1,4-benzodiazepines.
20211697	Here we study the expression and localization of BKCa channels and CGRP in the rat trigeminal ganglion (TG) and the trigeminal nucleus caudalis (TNC) as these structures are involved in migraine pain.
20430080	Cochleograms revealed no gross destruction of hair cells in the non-diabetic groups or the Diabetes-NAC group; however, a significant number of outer hair cells (OHCs) were lost in the Diabetes-Saline group.
20227462	In addition, the induction of Hrd1 was concentrated on the granular cell layer and the pyramidal layer, following the distribution character as CA3 > CA2 > CA1 was evaluation of OD value of Hrd1 immunolabelling (F = 26.163, p < 0.001).
20470874	Histological analysis of cochleas showed that hair cell lesions are most severe in Sod1-/- Cdh23ahl/ ahl mice followed closely by Sod1-/- Cdh23ahl/ahl mice and much smaller in Sod1-/- Cdh23-/- and Sod1-/- Cdh23-/- mice.
19925852	The VCA was negative, as was the DCN (Fig. 3d), including the granule cell layer.
19961906	Application of group I mGluR agonist (RS)-3,5-dihydroxyphenylglycine (DHPG) reversibly suppressed spontaneous inhibitory postsynaptic currents (IPSCs).
20018836	A: application of nipecotic acid (1 mM), a nonselective GABA transporter inhibitor, significantly increased the amplitude of Itonic.
20542093	Note the tonic irregular firing of NA-LC neurons during episodes of sniffing (A) and grooming (B, C), characterized by sustained theta waves on the cortical EEG.
20114035	Bath application of flunitrazepam (500 nM) altered the properties of spontaneous GABAergic inhibitory postsynaptic currents (sIPSCs) in whole-cell recordings from rat layer II/III pyramidal neurons (Fig. 2).
20561573	Aminoglycosides are known to enter hair cells via apical endocytosis or permeation of the mechanotransduction channels on the apical surface of hair cells, and presumably from endolymph in vivo.
20042702	Figure 4B shows that nearly all chopper units (5/7) of our dataset had very different ISI statistics when only their phase preference was maintained. This in turns means that most units showed significant mode-locking behavior.
20056135	Purkinje cells of the cerebellum are irSST.
19850111	The neurons inside the dorsal root ganglia of the lumbar area express Cdh7 and Cdh20 weakly, but not Cdh19 (drg in Fig. 3S, U).
19906884	BCs then release glutamate onto downstream ganglion cells (GCs) and amacrine cells (Acs).
20433897	Co-localization of cyclin B1- and CDK4-immunoreactivities in cerebellar Purkinje cells labeled with calbindin.
19909793	Bright-field microautoradiographs from Cresyl Violet stained brain sections showing BDNF mRNA labeled cells (black grains) in the layers II of cerebral cortex (CTX), in the CA3 pyramidal cell layer (CA3) and in the dentate gyrus (DG) of the hippocampal formation.
20060034	Quantification of zif268- and Homer1a-labeled CA1 neurons.
20727947	Population based quantification of dendrites: evidence for the lack of microtubule-associate protein 2a,b in Purkinje cell spiny dendrites.
19796672	As for their immunohistochemical localization, the AQP-2 protein is expressed on the basal side of the basal cells of the SV, and proteins of AQP-3 and V2-R are expressed on the apical side of the basal cells.
19962427	Furthermore, the differential expression of estradiol receptors in the dorsal and ventral MePD did not lead to distinct spine number in these subregions when circulating ovarian steroids peak in proestrus.
20674686	Here, we use a different approach to identify and quantify the subpopulations of SPN that contain the mRNA for pituitary adenylate cyclase activating polypeptide (PACAP) or enkephalin.
20226232	Despite the lack of interaction between GABA and glutamate, blocking GABAA receptors significantly accelerated the onset of the Purkinje cell "ischemic" depolarization (ID), as assessed with current-clamp recordings from Purkinje cells or field potential recordings in the dendritic field of the Purkinje cells.
20346391	Up-regulation of CCR2 receptor protein in the injured DRG.
20438810	5HT1A receptor density was increased by 23% in the CA1 region of the hippocampus of adult rats treated with 100 g/kg HU210 for 4 days compared to vehicle treated controls. The same treatment increased mRNA expression by 27% and by 14% in the CA1 region and dentate gyrus of the hippocampus.
20498234	As the GABAergic system is critical for retinal development, we then performed in vivo gramicidin perforated-patch whole-cell recording to characterize the developmental change of GABAergic action in RGCs.
20674687	Mechanical injury (20% tensile strain) led to significant neuronal cell death (assessed by ethidium homodimer-1 labelling), which was proportional to strain duration (5 min, 1 h, 6 h or 18 h).|Hypoxia (2% O2 for 24 h) also promoted death of DRG neurons, and was further enhanced when mechanical strain and hypoxia were combined.
20884331	We analyzed the long-term consequences of asphyxial cardiac arrest for hippocampal cell proliferation in rats to evaluate if the ischaemia-induced degenerated CA1 region may be repopulated by endogenous (stem) cells. Analysis of BrdU-incorporation demonstrated an increase at 7, 21 as well as 90 days after global ischaemia in the hippocampal CA1 pyramidal cell layer.
20107127	Paraoxon enhanced the frequency and amplitude of spontaneous excitatory postsynaptic currents (sEPSCs). A and B: representative sEPSC recordings obtained from dentate granule cells before (control) and after application of 3 M paraoxon (PXN).
20707989	Microstimulation of the granule cell layer of both transverse or sagittal slices evoked a local membrane depolarization restricted to a radial wedge, but these radial responses did not activate measurable molecular layer beams in transverse slices
20018832	Group I metabotropic glutamate receptors (mGluRs) activate median preoptic nucleus (MnPO) neurons and induce an inward current.
